Слово = взяток, Количество = 2
Слово = 5, Количество = 1
Слово = требовало, Количество = 1
Слово = впереди, Количество = 10
Слово = 6, Количество = 1
Слово = осиновых, Количество = 1
Слово = задержки, Количество = 1
Слово = поддерживанья, Количество = 1
Слово = Плешаков, Количество = 1
Слово = судейских, Количество = 1
Слово = напряжение, Количество = 1
Слово = справедливо, Количество = 10
Слово = торговля, Количество = 1
Слово = свернутую, Количество = 1
Слово = десяти, Количество = 7
Слово = заставали, Количество = 1
Слово = освещенными, Количество = 1
Слово = будучи, Количество = 11
Слово = Самосвистов, Количество = 4
Слово = прикажете, Количество = 3
Слово = пересмотрел, Количество = 2
Слово = хозяйствето, Количество = 2
Слово = Следствие, Количество = 1
Слово = божьим, Количество = 1
Слово = уездную, Количество = 1
Слово = мельницею, Количество = 1
Слово = Далеко, Количество = 1
Слово = громовых, Количество = 1
Слово = добродушный, Количество = 1
Слово = пристяжную, Количество = 2
Слово = рассудителен, Количество = 1
Слово = последнего, Количество = 5
Слово = хладнокровно, Количество = 5
Слово = богатого, Количество = 1
Слово = первостатейным, Количество = 1
Слово = Здравс, Количество = 1
Слово = Министр, Количество = 2
Слово = жалком, Количество = 2
Слово = говорите, Количество = 12
Слово = Повсюду, Количество = 1
Слово = приближавшегося, Количество = 1
Слово = покупаете, Количество = 5
Слово = обгонку, Количество = 1
Слово = издержки, Количество = 6
Слово = хламом, Количество = 1
Слово = дитяти, Количество = 1
Слово = загородил, Количество = 1
Слово = немало, Количество = 7
Слово = танцевавшее, Количество = 1
Слово = N, Количество = 11
Слово = свечками, Количество = 1
Слово = чемнибудь, Количество = 2
Слово = мельницах, Количество = 1
Слово = миллионов, Количество = 3
Слово = замком, Количество = 1
Слово = притопывать, Количество = 1
Слово = Плотин, Количество = 1
Слово = похитители, Количество = 1
Слово = смутясь, Количество = 1
Слово = ярмарку, Количество = 3
Слово = Сибирякови, Количество = 1
Слово = перерезали, Количество = 1
Слово = передадите, Количество = 1
Слово = состояниее, Количество = 1
Слово = нимало, Количество = 2
Слово = Следовало, Количество = 1
Слово = цеплять, Количество = 1
Слово = хозяйке, Количество = 2
Слово = рекомендательные, Количество = 1
Слово = поцелую, Количество = 2
Слово = потолку, Количество = 1
Слово = очереди, Количество = 1
Слово = писарям, Количество = 3
Слово = одноэтажных, Количество = 1
Слово = почерке, Количество = 1
Слово = совестился, Количество = 1
Слово = прилагали, Количество = 1
Слово = румянится, Количество = 1
Слово = ужасного, Количество = 1
Слово = лесомм, Количество = 1
Слово = остроконечный, Количество = 1
Слово = комнибудь, Количество = 1
Слово = Скандалы, Количество = 1
Слово = заломить, Количество = 1
Слово = покрытые, Количество = 1
Слово = какимн, Количество = 1
Слово = детейо, Количество = 1
Слово = благовонных, Количество = 1
Слово = картин, Количество = 3
Слово = Копейкина, Количество = 2
Слово = такогое, Количество = 1
Слово = отломами, Количество = 1
Слово = отворите, Количество = 1
Слово = следствие, Количество = 5
Слово = вымолить, Количество = 1
Слово = спускаться, Количество = 1
Слово = криком, Количество = 2
Слово = далеко, Количество = 22
Слово = слабый, Количество = 1
Слово = разбирать, Количество = 1
Слово = завелся, Количество = 1
Слово = посторонних, Количество = 2
Слово = Насыщенные, Количество = 1
Слово = Парамонов, Количество = 1
Слово = принять, Количество = 14
Слово = англичанином, Количество = 1
Слово = величие, Количество = 1
Слово = Наступят, Количество = 1
Слово = открытые, Количество = 1
Слово = заведений, Количество = 1
Слово = важном, Количество = 1
Слово = Покупайт, Количество = 1
Слово = повсюду, Количество = 6
Слово = почуются, Количество = 1
Слово = поверку, Количество = 1
Слово = навело, Количество = 1
Слово = убрался, Количество = 1
Слово = спрашивал, Количество = 3
Слово = пробраться, Количество = 1
Слово = блюдом, Количество = 1
Слово = ржавый, Количество = 1
Слово = видном, Количество = 1
Слово = терпения, Количество = 3
Слово = кибитке, Количество = 1
Слово = возраст, Количество = 1
Слово = удовлетворительно, Количество = 2
Слово = медном, Количество = 1
Слово = рядком, Количество = 1
Слово = Феодулии, Количество = 1
Слово = красного, Количество = 3
Слово = таможне, Количество = 6
Слово = Приезжий, Количество = 3
Слово = колышется, Количество = 1
Слово = переписка, Количество = 2
Слово = плотин, Количество = 1
Слово = жарком, Количество = 1
Слово = отвсюду, Количество = 2
Слово = следовало, Количество = 16
Слово = увлекся, Количество = 1
Слово = встретившиеся, Количество = 1
Слово = станом, Количество = 1
Слово = министра, Количество = 1
Слово = засунув, Количество = 2
Слово = хороши, Количество = 4
Слово = Слышишь, Количество = 2
Слово = строения, Количество = 1
Слово = домком, Количество = 1
Слово = навесами, Количество = 1
Слово = вступление, Количество = 1
Слово = семейственной, Количество = 1
Слово = полком, Количество = 1
Слово = забираться, Количество = 1
Слово = пинком, Количество = 1
Слово = смотрители, Количество = 1
Слово = ровном, Количество = 1
Слово = крепкую, Количество = 2
Слово = суровое, Количество = 1
Слово = щенком, Количество = 2
Слово = наступившее, Количество = 1
Слово = толком, Количество = 1
Слово = довольством, Количество = 2
Слово = бонбон, Количество = 1
Слово = копался, Количество = 1
Слово = Начало, Количество = 1
Слово = исполнение, Количество = 2
Слово = раскрывалась, Количество = 1
Слово = метался, Количество = 2
Слово = записке, Количество = 1
Слово = театральное, Количество = 1
Слово = шляпками, Количество = 1
Слово = кондитерскими, Количество = 1
Слово = стеклушки, Количество = 1
Слово = мыльницею, Количество = 1
Слово = прекратились, Количество = 1
Слово = попался, Количество = 3
Слово = попало, Количество = 5
Слово = галантёрная, Количество = 1
Слово = дворовых, Количество = 2
Слово = губернским, Количество = 1
Слово = истоар, Количество = 1
Слово = вечеринке, Количество = 3
Слово = мышления, Количество = 2
Слово = чтонибудь, Количество = 7
Слово = прибытков, Количество = 2
Слово = любовница, Количество = 1
Слово = Посреди, Количество = 1
Слово = правый, Количество = 2
Слово = какуюнибуд, Количество = 1
Слово = кашлять, Количество = 1
Слово = Возьмите, Количество = 4
Слово = сострадательно, Количество = 1
Слово = родном, Количество = 2
Слово = поверить, Количество = 1
Слово = проснулось, Количество = 1
Слово = тонком, Количество = 1
Слово = затруднительному, Количество = 1
Слово = плисовых, Количество = 1
Слово = лучинку, Количество = 1
Слово = свешивался, Количество = 1
Слово = экипажи, Количество = 3
Слово = привезли, Количество = 2
Слово = приезжий, Количество = 7
Слово = огорченья, Количество = 1
Слово = изморози, Количество = 1
Слово = похудели, Количество = 1
Слово = неминуемо, Количество = 2
Слово = знаюго, Количество = 1
Слово = щелчками, Количество = 1
Слово = повело, Количество = 1
Слово = звуком, Количество = 1
Слово = слышен, Количество = 1
Слово = карабкались, Количество = 1
Слово = смирного, Количество = 2
Слово = сидело, Количество = 2
Слово = слышишь, Количество = 2
Слово = виноградными, Количество = 1
Слово = проездитьсяа, Количество = 1
Слово = кавалерийского, Количество = 1
Слово = близко, Количество = 8
Слово = бильярдной, Количество = 2
Слово = вниманье], Количество = 1
Слово = потерялся, Количество = 1
Слово = придумать, Количество = 2
Слово = одурения, Количество = 1
Слово = побелели, Количество = 1
Слово = ужином, Количество = 4
Слово = выпало, Количество = 1
Слово = судном, Количество = 1
Слово = генеральский, Количество = 3
Слово = коснешься, Количество = 1
Слово = кресельную, Количество = 1
Слово = помощи, Количество = 2
Слово = соблюдал, Количество = 1
Слово = ударом, Количество = 1
Слово = крючок, Количество = 1
Слово = начало, Количество = 6
Слово = начался, Количество = 1
Слово = Каждый, Количество = 2
Слово = пресного, Количество = 1
Слово = теплом, Количество = 1
Слово = хреном, Количество = 2
Слово = прибывши, Количество = 1
Слово = заблуждающийся, Количество = 1
Слово = событие, Количество = 3
Слово = клином, Количество = 1
Слово = липецк, Количество = 1
Слово = храмине, Количество = 1
Слово = произошло, Количество = 5
Слово = видано, Количество = 4
Слово = Послуша, Количество = 2
Слово = Ейбогуя, Количество = 1
Слово = остался, Количество = 10
Слово = торговым, Количество = 1
Слово = справедливыми, Количество = 1
Слово = уснащивал, Количество = 2
Слово = толчками, Количество = 1
Слово = удерживая, Количество = 1
Слово = манящее, Количество = 1
Слово = посреди, Количество = 10
Слово = обязнности, Количество = 1
Слово = негодовал, Количество = 1
Слово = возьмите, Количество = 4
Слово = примчали, Количество = 1
Слово = подкрепиться, Количество = 1
Слово = сочинить, Количество = 3
Слово = нужном, Количество = 1
Слово = болонку, Количество = 2
Слово = убеждений, Количество = 1
Слово = развизгивалась, Количество = 1
Слово = скромности, Количество = 1
Слово = Славно, Количество = 1
Слово = семидесяти, Количество = 1
Слово = полусонный, Количество = 1
Слово = поместился, Количество = 2
Слово = роскошь, Количество = 1
Слово = тревоги, Количество = 1
Слово = клочками, Количество = 1
Слово = обстоятельств, Количество = 6
Слово = отчизне, Количество = 1
Слово = разворачивал, Количество = 1
Слово = сынком, Количество = 1
Слово = растения, Количество = 1
Слово = мешало, Количество = 2
Слово = оставили, Количество = 3
Слово = затылке, Количество = 5
Слово = танцовщику, Количество = 1
Слово = добром, Количество = 1
Слово = скитальческий, Количество = 1
Слово = недосягаемо, Количество = 1
Слово = широкую, Количество = 2
Слово = встретили, Количество = 3
Слово = звоном, Количество = 1
Слово = куском, Количество = 1
Слово = усмехнуться, Количество = 1
Слово = постановлениям, Количество = 2
Слово = намереню, Количество = 1
Слово = нареканиям, Количество = 1
Слово = солонку, Количество = 1
Слово = темном, Количество = 2
Слово = белело, Количество = 1
Слово = белелся, Количество = 1
Слово = вскрикивают, Количество = 1
Слово = бронзовые, Количество = 1
Слово = способень, Количество = 1
Слово = велико, Количество = 1
Слово = происходили, Количество = 1
Слово = изъяснении, Количество = 1
Слово = столом, Количество = 11
Слово = 10, Количество = 5
Слово = Федоровне, Количество = 1
Слово = 20, Количество = 1
Слово = схватить, Количество = 2
Слово = ужасом, Количество = 3
Слово = каждый, Количество = 14
Слово = Невероятно, Количество = 1
Слово = 30, Количество = 1
Слово = числом, Количество = 6
Слово = ухватить, Количество = 1
Слово = кланяется, Количество = 1
Слово = 40, Количество = 2
Слово = значения, Количество = 1
Слово = средину, Количество = 1
Слово = щеголевато, Количество = 1
Слово = 60, Количество = 1
Слово = мелькнет, Количество = 1
Слово = 12, Количество = 1
Слово = 70, Количество = 1
Слово = мужскую, Количество = 1
Слово = пытался, Количество = 1
Слово = громом, Количество = 5
Слово = мужчин, Количество = 3
Слово = какогото, Количество = 8
Слово = опомнить, Количество = 1
Слово = проезжий, Количество = 1
Слово = старом, Количество = 1
Слово = желаньем, Количество = 1
Слово = 42, Количество = 1
Слово = знаемо, Количество = 1
Слово = хлыснув, Количество = 1
Слово = оживлявшую, Количество = 1
Слово = выдумку, Количество = 1
Слово = трудную, Количество = 1
Слово = плавно, Количество = 2
Слово = полном, Количество = 2
Слово = постепенно, Количество = 2
Слово = упомнить, Количество = 1
Слово = земскую, Количество = 2
Слово = Аршавского, Количество = 1
Слово = 34, Количество = 1
Слово = Негодованье, Количество = 1
Слово = отрекся, Количество = 1
Слово = такогото, Количество = 1
Слово = существительное, Количество = 1
Слово = славно, Количество = 4
Слово = отдано, Количество = 1
Слово = 15, Количество = 2
Слово = 25, Количество = 2
Слово = обрезков, Количество = 1
Слово = Приезжаю, Количество = 1
Слово = взявшись, Количество = 6
Слово = озером, Количество = 1
Слово = стуком, Количество = 1
Слово = садился, Количество = 3
Слово = пределов, Количество = 3
Слово = оборотился, Количество = 5
Слово = склонности, Количество = 1
Слово = мешком, Количество = 1
Слово = причин, Количество = 7
Слово = затворник, Количество = 1
Слово = восторг, Количество = 1
Слово = окормить, Количество = 1
Слово = добился, Количество = 2
Слово = глубину, Количество = 2
Слово = плошками, Количество = 1
Слово = хозяинт, Количество = 2
Слово = постоянному, Количество = 1
Слово = дерном, Количество = 1
Слово = сукном, Количество = 2
Слово = нестерпимо, Количество = 4
Слово = 17, Количество = 1
Слово = пешком, Количество = 1
Слово = мыском, Количество = 1
Слово = вывеску, Количество = 1
Слово = оканчивал, Количество = 2
Слово = склонить, Количество = 1
Слово = зерном, Количество = 1
Слово = Сорокоплёхин, Количество = 1
Слово = Поварченок, Количество = 1
Слово = свидетельствовать, Количество = 1
Слово = расположении, Количество = 7
Слово = племянницей, Количество = 1
Слово = Первый, Количество = 4
Слово = Родился, Количество = 1
Слово = лишком, Количество = 8
Слово = благодарности, Количество = 2
Слово = вверену, Количество = 1
Слово = ручался, Количество = 1
Слово = делано, Количество = 1
Слово = барскую, Количество = 2
Слово = молодое, Количество = 2
Слово = соединятся, Количество = 1
Слово = переводилось, Количество = 1
Слово = повесить, Количество = 1
Слово = сладкозвучных, Количество = 1
Слово = тобойо, Количество = 1
Слово = преобразивши, Количество = 1
Слово = устоять, Количество = 1
Слово = недалекую, Количество = 1
Слово = белизну, Количество = 1
Слово = жертвовал, Количество = 1
Слово = продолжать, Количество = 4
Слово = восторга, Количество = 1
Слово = услышит, Количество = 1
Слово = настоящие, Количество = 2
Слово = яичком, Количество = 1
Слово = скамьи, Количество = 1
Слово = черном, Количество = 1
Слово = захваченного, Количество = 1
Слово = Вдвойне, Количество = 1
Слово = наладили, Количество = 1
Слово = высокую, Количество = 3
Слово = хлебосолом, Количество = 1
Слово = братом, Количество = 6
Слово = лунном, Количество = 1
Слово = нетвердость, Количество = 1
Слово = полученья, Количество = 1
Слово = бутылке, Количество = 2
Слово = объявлено, Количество = 2
Слово = стулом, Количество = 3
Слово = водился, Количество = 1
Слово = удостоили, Количество = 1
Слово = улучшениях, Количество = 1
Слово = государственную, Количество = 1
Слово = годился, Количество = 1
Слово = двойную, Количество = 1
Слово = стоящее, Количество = 1
Слово = поблагодарил, Количество = 4
Слово = складывать, Количество = 1
Слово = топырится, Количество = 1
Слово = бывшему, Количество = 1
Слово = отплясывал, Количество = 1
Слово = тяжело, Количество = 6
Слово = укладывать, Количество = 1
Слово = белогрудых, Количество = 1
Слово = наемную, Количество = 1
Слово = спускавшуюся, Количество = 1
Слово = лучком, Количество = 2
Слово = гневно, Количество = 1
Слово = клеился, Количество = 1
Слово = кипело, Количество = 3
Слово = загнул, Количество = 1
Слово = Николай, Количество = 3
Слово = весело, Количество = 10
Слово = неженатому, Количество = 1
Слово = пустыню, Количество = 1
Слово = завязавши, Количество = 2
Слово = закабалил, Количество = 1
Слово = преподавателями, Количество = 1
Слово = советами, Количество = 2
Слово = экономии, Количество = 1
Слово = первый, Количество = 17
Слово = зевнул, Количество = 2
Слово = кругло, Количество = 1
Слово = родился, Количество = 5
Слово = поведением, Количество = 1
Слово = нагнул, Количество = 1
Слово = бревно, Количество = 4
Слово = словат, Количество = 1
Слово = светом, Количество = 8
Слово = дурном, Количество = 1
Слово = божился, Количество = 2
Слово = висело, Количество = 2
Слово = ходило, Количество = 2
Слово = какомн, Количество = 1
Слово = обратить, Количество = 4
Слово = цветом, Количество = 2
Слово = пьянств, Количество = 1
Слово = Последний, Количество = 1
Слово = сановникам, Количество = 4
Слово = выражатьсяя, Количество = 1
Слово = пробудит, Количество = 1
Слово = черешневый, Количество = 1
Слово = воспитанник, Количество = 1
Слово = убежавшем, Количество = 1
Слово = залился, Количество = 1
Слово = Позволено, Количество = 1
Слово = кивнул, Количество = 1
Слово = языком, Количество = 6
Слово = возился, Количество = 1
Слово = наплевали, Количество = 1
Слово = Уступите, Количество = 1
Слово = стечения, Количество = 1
Слово = Смотрите, Количество = 1
Слово = двором, Количество = 1
Слово = вицегуберн, Количество = 2
Слово = фартук, Количество = 1
Слово = товарищами, Количество = 3
Слово = шибнул, Количество = 1
Слово = валяются, Количество = 1
Слово = женщин, Количество = 2
Слово = наобум, Количество = 1
Слово = походившие, Количество = 1
Слово = покупке, Количество = 4
Слово = необходимый, Количество = 1
Слово = нескончаемыми, Количество = 1
Слово = отказатьсяя, Количество = 1
Слово = конюшню, Количество = 3
Слово = балетами, Количество = 1
Слово = честного, Количество = 2
Слово = возможными, Количество = 1
Слово = дубровою, Количество = 1
Слово = заворотил, Количество = 1
Слово = добродетели, Количество = 5
Слово = поладили, Количество = 1
Слово = мимоходом, Количество = 3
Слово = хоронить, Количество = 1
Слово = впечатления, Количество = 1
Слово = вдесятеро, Количество = 1
Слово = взором, Количество = 1
Слово = напитанного, Количество = 1
Слово = разбудивши, Количество = 1
Слово = сертук, Количество = 4
Слово = вообразится, Количество = 1
Слово = успело, Количество = 1
Слово = пальцах, Количество = 1
Слово = недорого, Количество = 2
Слово = обхват, Количество = 1
Слово = помещиками, Количество = 1
Слово = поднятые, Количество = 1
Слово = портного, Количество = 2
Слово = крапинками, Количество = 1
Слово = сушеную, Количество = 1
Слово = кучерами, Количество = 2
Слово = повалившись, Количество = 1
Слово = грибочков, Количество = 1
Слово = Притом, Количество = 4
Слово = призадумались, Количество = 1
Слово = солдат, Количество = 6
Слово = чиновникам, Количество = 3
Слово = графом, Количество = 1
Слово = всемирному, Количество = 1
Слово = обтянутый, Количество = 1
Слово = последний, Количество = 13
Слово = шелковым, Количество = 2
Слово = II, Количество = 1
Слово = поступок, Количество = 4
Слово = настоялся, Количество = 1
Слово = хозяйку, Количество = 3
Слово = выходившие, Количество = 1
Слово = женился, Количество = 2
Слово = смягчится, Количество = 1
Слово = приподнялась, Количество = 1
Слово = печатку, Количество = 1
Слово = билетами, Количество = 1
Слово = слабому, Количество = 1
Слово = смотрите, Количество = 3
Слово = Чичико, Количество = 4
Слово = человекам, Количество = 1
Слово = спросите, Количество = 2
Слово = Поздно, Количество = 1
Слово = Казалось, Количество = 15
Слово = подходит, Количество = 1
Слово = преследовали, Количество = 3
Слово = видимо, Количество = 1
Слово = обидно, Количество = 2
Слово = всяком, Количество = 15
Слово = хотело, Количество = 4
Слово = образец, Количество = 2
Слово = сидевших, Количество = 3
Слово = русскую, Количество = 3
Слово = восклицание, Количество = 2
Слово = государства, Количество = 11
Слово = хлебопашество, Количество = 1
Слово = скором, Количество = 1
Слово = никакое, Количество = 1
Слово = щемило, Количество = 1
Слово = разговаривающими, Количество = 1
Слово = пятидесяти, Количество = 1
Слово = нашелся, Количество = 2
Слово = напился, Количество = 2
Слово = вредно, Количество = 1
Слово = свиньи, Количество = 1
Слово = бедствий, Количество = 1
Слово = рязанских, Количество = 1
Слово = управления, Количество = 1
Слово = камрадом, Количество = 1
Слово = ветром, Количество = 1
Слово = лизнул, Количество = 4
Слово = молился, Количество = 1
Слово = пугнул, Количество = 2
Слово = смазливая, Количество = 1
Слово = балкон, Количество = 1
Слово = черноглазы, Количество = 1
Слово = собравшееся, Количество = 1
Слово = благоразумных, Количество = 2
Слово = NN, Количество = 1
Слово = нижегородская, Количество = 1
Слово = осветить, Количество = 1
Слово = слышуй, Количество = 1
Слово = уважаемым, Количество = 1
Слово = поминай, Количество = 2
Слово = наметку, Количество = 1
Слово = неправильными, Количество = 1
Слово = металлические, Количество = 1
Слово = секретарша, Количество = 2
Слово = ласковым, Количество = 2
Слово = властителями, Количество = 1
Слово = спором, Количество = 1
Слово = личико, Количество = 1
Слово = кибитку, Количество = 2
Слово = Маниловка, Количество = 6
Слово = годимся, Количество = 1
Слово = запряженную, Количество = 1
Слово = притом, Количество = 11
Слово = расставляющим, Количество = 1
Слово = неприятельской, Количество = 1
Слово = длинную, Количество = 3
Слово = гладкое, Количество = 1
Слово = Душечк, Количество = 1
Слово = изюмом, Количество = 1
Слово = заносящие, Количество = 1
Слово = губернии, Количество = 15
Слово = защищали, Количество = 1
Слово = поворотил, Количество = 3
Слово = докопаться, Количество = 1
Слово = смотрителями, Количество = 1
Слово = винтом, Количество = 1
Слово = каретами, Количество = 1
Слово = объелся, Количество = 2
Слово = бледныо, Количество = 1
Слово = стекло, Количество = 2
Слово = окинул, Количество = 1
Слово = благодарить, Количество = 4
Слово = прахом, Количество = 1
Слово = занятие, Количество = 2
Слово = усмирить, Количество = 1
Слово = Текстл, Количество = 1
Слово = испанских, Количество = 1
Слово = посадили, Количество = 2
Слово = катился, Количество = 1
Слово = полемики, Количество = 1
Слово = сулило, Количество = 1
Слово = юношеских, Количество = 1
Слово = скинул, Количество = 2
Слово = пригляделись, Количество = 1
Слово = поздно, Количество = 10
Слово = казалось, Количество = 65
Слово = кумился, Количество = 2
Слово = соединено, Количество = 1
Слово = словно, Количество = 1
Слово = касательство, Количество = 1
Слово = выражений, Количество = 2
Слово = неосязаемый, Количество = 1
Слово = богатую, Количество = 1
Слово = булдыхнуть, Количество = 1
Слово = сладкое, Количество = 1
Слово = хороводе, Количество = 2
Слово = записку, Количество = 2
Слово = желчного, Количество = 1
Слово = засеватель, Количество = 1
Слово = разгуле, Количество = 1
Слово = сафьянные, Количество = 1
Слово = состояло, Количество = 2
Слово = делаешьь, Количество = 1
Слово = Заснул, Количество = 1
Слово = крышками, Количество = 1
Слово = Посеменивши, Количество = 1
Слово = седьмого, Количество = 1
Слово = приходит, Количество = 5
Слово = смешного, Количество = 2
Слово = Березовский, Количество = 1
Слово = размер, Количество = 1
Слово = Абакум, Количество = 1
Слово = крепостных, Количество = 3
Слово = человеческие, Количество = 4
Слово = известен, Количество = 1
Слово = Семено, Количество = 1
Слово = ухабиста, Количество = 1
Слово = затруднился, Количество = 1
Слово = заметить, Количество = 23
Слово = существенную, Количество = 2
Слово = держат, Количество = 2
Слово = провиденья, Количество = 1
Слово = скромн, Количество = 1
Слово = анемон, Количество = 1
Слово = благополучии, Количество = 1
